2247	A grid-patterned pavement sidewalk composed of rectangular tiles arranged in a uniform layout with a curved edge on one side.
2248	A water bottle with a blue cap and a water droplet logo stands next to a filled glass of water.
2249	A rectangular red carpet with a bold yellow and black ornamental border featuring swirling patterns and tassels along the sides.
2250	A rectangular pillow with a smooth surface and slightly curved edges, depicted in a minimalist outline with subtle shading to suggest softness and dimension.
2251	A white ambulance with a red cross emblem on its side, a red stripe running horizontally, and a flashing yellow light on top, depicted in a simplified side view with visible wheels and windows.
2245	A bald head with a bored, unenthusiastic expression, eyes half-lidded and mouth downturned in a weary frown, conveying a sense of dullness and disinterest.
2244	A balding elderly man with a gentle smile, slightly furrowed brow, and small tufts of hair on the sides, embodying the warm and wise presence of a grandfather.
2252	A yellow band with a red hexagonal gemstone set in its center, forming a ring.
2246	A bottle of olive oil with a red cap and a yellow label featuring illustrations of green olives.
2255	Three smiling individuals, two men and a woman, standing close together with arms around each other’s shoulders, symbolizing camaraderie and friendship.
2257	A cheerful brown squirrel with a bushy tail is happily holding and nibbling on a nut.
2256	A tree with a sturdy brown trunk and a full, rounded green canopy rooted in a square patch of earth, positioned above a horizontal line representing the ground.
2258	A tall wooden wardrobe with two orange doors and a single drawer, each fitted with a small round green knob.
2260	A vertical elevator with closed doors, a digital floor indicator displaying numbers 1 through 7, and an adjacent control panel with up and down arrow buttons.
2259	A plate of white rice topped with a generous portion of red tomato sauce, accompanied by two small side dishes.
2253	A dish antenna mounted on a stand with a red triangular base, angled upward to receive or transmit signals.
2254	A spider with a rounded black body and eight legs is positioned beneath a geometrically patterned web that hangs from an upper corner.
2243	A cheerful elderly woman with short, neatly styled white hair, soft round face, and a gentle smile, embodying the loving presence of a grandmother.
2262	A green and yellow passenger bus with multiple windows, two wheels, and a front windshield designed for transporting people.
2263	A red urban bus with the number 23 displayed on its side, featuring multiple windows, two wheels, and a front door.
2261	A bald head with wide eyes, arched eyebrows, and an open mouth conveying a look of fear or fright.
2264	A commercial airliner with a light blue fuselage, red stripe, four jet engines, and visible landing gear is depicted in flight from a side angle.
2265	A light blue sugar bowl filled with white granulated sugar, with a spoon resting inside and another spoon lying beside it holding a scoop of sugar.
2266	A sugar bowl filled with granulated sugar, featuring a spoon resting inside and two sugar cubes placed beside it.
2242	A mustard-yellow double-breasted overcoat with a belt, featuring six buttons, notched lapels, and flap pockets on the sleeves.
2271	A person with brown hair is bathing in a tub filled with blue water, using a yellow sponge to wash while bubbles rise around them.
2273	A red and green ocean liner with a striped smokestack and circular portholes is sailing on the water, leaving a wake behind it.
2272	A bathtub filled with water featuring three smiling faces on the surface and a faucet on the left side.
2274	An electric hand mixer with a green and yellow body, two control buttons, a white power cord ending in a plug, and a silver mixing attachment at the bottom.
2276	A person with brown hair is drinking from a glass containing a light blue liquid.
2275	A simplified figure of a baby with a round head, two small dots for eyes, a red circular mouth, and a light blue body with arms and legs, conveying a sense of innocence and simplicity.
2277	A red bicycle with a blue seat and handlebar grips, featuring black tires with silver spokes, a chain-driven gear system, and a kickstand, viewed from a side angle.
2239	A stylized bee with a black and yellow striped body, translucent wings, and visible legs and antennae.
2280	A light-colored blouse with a V-neckline, long sleeves, and a wrap-front design that ties at the waist.
2279	A pink two-piece swimsuit consisting of a halter top with tied straps and a matching low-rise bottom with side ties.
2281	A sandwich featuring a long, crusty roll filled with sliced pepperoni arranged in a row.
2282	A blue ballpoint pen with a white barrel, black outline, and yellow tip, angled diagonally across a plain white background.
2284	A brown handbag with a curved top handle, a central red button closure, and two silver-colored metal eyelets near the bottom.
2283	A red bowling ball with three finger holes positioned in front of a set of ten yellow bowling pins arranged in a triangular formation.
2286	A hand is using an eraser to remove pencil marks from a piece of paper held by another hand.
2270	An orange one-piece swimsuit with white side stripes and a fitted silhouette designed for swimming.
2285	A glowing yellow light bulb with a metallic threaded base and three radiating lines indicating illumination.
2278	A wall-mounted bidet with a curved basin, a single faucet on top, and a flush button on the side.
2269	A spherical soccer ball composed of alternating black pentagonal and white hexagonal panels arranged in a classic pattern.
2288	A transparent glass bottle with a narrow neck and cylindrical body, standing upright and empty.
2287	A pair of green rubber boots with dark brown soles, standing upright with one slightly angled forward.
2289	A pair of pink panties with a simple, classic design featuring a wide waistband and minimal coverage.
2291	A brown donkey standing in profile with a long slender body, upright ears, a short tail, and a white muzzle.
2290	A green scarf with fringed ends, wrapped in a looped fashion around a neck.
2292	A yellow post-box with a rectangular slot near the top, a white crown emblem centered on its body, and a rounded top and base.
2268	A light blue whale with a curved dorsal fin, a small eye, and a fluke-shaped tail fin, depicted in a simple, stylized form.
2298	A pair of bright yellow socks with light blue accents on the toes, heels, and cuffs, depicted in a simple, clean illustration.
2299	A paved street lined with buildings including a beige house with a red roof, a tall blue apartment building, and a modern high-rise, flanked by sidewalks, streetlights, utility poles, and green trees under a clear sky.
2267	A light blue bib with a white center panel featuring a cheerful yellow bear face design and two curved neck straps.
2300	A person's face covered in sweat with a bright sun above, indicating extreme heat.
2303	A light blue underpants with a wide waistband and a simple, symmetrical design featuring three distinct panels.
2304	A neatly made bed with a green plaid comforter, white pillow, and orange headboard and legs.
2302	A straight road surface with a dashed centerline and curved edges indicating a route.
2306	A green cab with a brown wooden slatted cargo bed and gray wheels, representing a lorry or camion for transporting goods.
2307	A toy dump truck with a yellow cab, red cargo bed, and black wheels with white centers.
2305	A dromedary, characterized by its single hump, stands in profile with a slender neck, four sturdy legs, and a head featuring a small eye and a curved mouth.
2309	A solid green T-shirt with short sleeves and a rounded neckline.
2310	A bright yellow sleeveless undershirt or vest with a rounded neckline and straight-cut armholes, designed for wearing underneath other clothing or as standalone casual wear.
2308	A short-sleeved shirt with a collar, front button closure, and a chest pocket.
2311	A sleeveless, floor-length nightgown with a fitted bodice, gently flared skirt, and subtle vertical pleats along the front.
2296	A steaming cup of coffee with a spoon resting inside, placed on a matching saucer.
2314	A bald head with closed eyes, a slightly downturned mouth, and drooping eyelids conveying deep tiredness, exhaustion, and fatigue.
2293	A gray post-box with a horizontal slot at the top, a yellow keyhole in the center, a mail slot below it, and a rectangular label at the bottom.
2294	A brown horse depicted in profile, standing with one front leg lifted as if mid-stride, featuring a black mane, tail, and outlined features with a lighter brown underbelly and facial markings.
2295	A yellow goat with white curved horns and a light-colored face stands in profile, showing its sturdy legs, curved tail, and facial features characteristic of a billy goat or domestic goat.
2315	A bald baby with closed eyes and an open mouth is joyfully singing, with musical notes floating above its head.
2316	A raw beef steak with marbled red meat and white fat layers, outlined in black.
2317	A house with a red triangular roof, a brown chimney, beige walls, two yellow windows with horizontal bars, and a brown arched door.
2318	A pair of brown castanets with black outlines and red accents, each featuring a handle with a looped string for holding, positioned side by side as if ready to be played.
2319	A yellow jacket with a collar, front zipper, two lower pockets, and brown trim on the collar, cuffs, and hem.
2313	A brown marsupial with large hind legs, long tail, and small forelimbs, standing upright in a typical kangaroo or wallaby posture.
2324	A zebra standing in profile with distinct black and white stripes covering its body, head, legs, and tail, facing right with a visible eye, ear, and muzzle.
2326	A bald person with closed eyes is holding a toothbrush horizontally inside their open mouth, brushing their teeth with toothpaste foam visible between their teeth.
2325	A green plastic dispenser with a roll of beige adhesive tape partially unwound, showing the tape’s adhesive side and a small torn edge.
